,CZ010 - Prague,CZ020 - Central Bohemian,CZ031 - South Bohemian,CZ032 - Plzeň,CZ041 - Karlovy Vary,CZ042 - Ústí nad Labem,CZ051 - Liberec,CZ052 - Hradec Králové,CZ053 - Pardubice,CZ063 - Vysočina,CZ064 - South Moravian,CZ071 - Olomouc,CZ072 - Zlín,CZ080 - Moravian-Silesian,PL21 - Małopolskie,PL22 - Śląskie,PL41 - Wielkopolskie,PL42 - Zachodniopomorskie,PL43 - Lubuskie,PL51 - Dolnośląskie,PL52 - Opolskie,PL61 - Kujawsko-Pomorskie,PL62 - Warmińsko-Mazurskie,PL63 - Pomorskie,PL71 - Łódzkie,PL72 - Świętokrzyskie,PL81 - Lubelskie,PL82 - Podkarpackie,PL84 - Podlaskie,PL9 - Mazowieckie,SE110 - Stockholm,SE121 - Uppsala,SE122 - Södermanland,SE123 - Östergötland,SE124 - Örebro,SE125 - Västmanland,SE211 - Jönköping,SE212 - Kronoberg,SE213 - Kalmar,SE214 - Gotland,SE221 - Blekinge,SE224 - Skåne,SE231 - Halland,SE232 - Västra Götaland,SE311 - Värmland,SE312 - Dalarna,SE313 - Gävleborg,SE321 - Västernorrland,SE322 - Jämtland,SE331 - Västerbotten,SE332 - Norrbotten
PL21 - Małopolskie,14.834511756554932,15.659640472463185,14.156305694627786,27.441812645215446,60.28157493280648,21.125351244160097,22.57281991255348,28.044895316905244,25.543368880497876,15.217835120640192,12.457818547862136,16.71770855823537,16.99055229177259,23.37653587099371,0.0,12.29828600785818,10.200523120530946,14.08807062889382,11.808923976459017,9.837198302730691,12.053257609644017,13.939713301862877,16.17260873496929,16.459953780501557,15.092500059648788,13.83732241457426,10.692438871239997,6.000372715714519,11.664693276483824,9.31931829810523,34.50688851157297,30.777353742255357,30.844278523494772,27.445917990670356,29.856704962267923,34.756533264822195,28.224647453559278,27.26709791739917,29.38695744421191,30.19748654316645,23.337154695829767,28.80118165991587,30.05625546501519,30.559278236360647,28.989971746951383,27.92178204978971,26.49391639466162,29.736352569365767,30.34285523003343,30.912036620731357,24.040238409102006
PL22 - Śląskie,23.61431689697327,21.617407086288647,18.900518915960262,22.577490014196034,53.98856405213989,16.261028613140684,21.771515167148085,23.30572036137862,20.679046249478464,18.46529583517091,17.531963732446997,20.49887840228907,15.365590977467694,16.395831488835924,12.29828600785818,0.0,11.261248278034884,16.053263170545392,10.485149136511197,8.633200681435056,14.610567441770485,11.920646951034364,17.094413650057408,15.830691894572833,7.884238550512816,8.70770007785169,14.043270231803845,11.463082480997095,20.260408662437413,10.181604343818698,33.464193550031744,34.0883866895182,29.798975109678388,31.084544092330518,27.96472265106236,33.71122985100581,27.910231315295075,27.972016398902447,24.32190596809702,30.736715307924023,30.673553133658764,31.603780071464037,29.010952051198807,31.15647201481817,27.944668333135,26.876478635973324,25.458990348671875,28.691049155549383,29.51883861483156,29.866733206914972,25.826477968900065
PL41 - Wielkopolskie,12.353068618938387,15.312642008709663,13.780443966880366,26.236558524852963,58.90703797132148,20.093478647804616,22.22582144879996,26.670358355420248,24.338114760135394,18.50869595334045,9.240815651972529,10.818937148273204,12.398834420945388,16.25429018600792,10.200523120530946,11.261248278034884,0.0,6.965824943908032,9.686334401516657,7.760340095286111,9.397210106782914,7.913661948735147,7.338790047636401,6.2594306599706115,13.1211169337897,15.329978845036923,12.07180177013575,11.219240433618985,9.702629593472508,5.07246694224294,24.306365391042025,23.74791613487766,21.697889615910753,19.823295814295633,19.656181841736977,25.610144357238173,18.608980444515034,18.12070900981515,19.186434323680963,21.880343476624162,19.41230485562388,20.342531793429153,20.909866557431172,20.751382188429695,19.843582839367365,18.77539314220569,17.347527487077603,20.58996366178175,21.19646632244941,21.765647713147338,18.403198889294906
PL42 - Zachodniopomorskie,12.326057390033125,14.745870221542269,13.213672179712972,24.749009014291225,52.63649145091091,18.749312707829457,21.659049661632565,21.21119234079464,22.675176090260667,22.131449783764367,9.737490395552229,12.464728789641377,14.384230083306058,11.31270463785583,14.08807062889382,16.053263170545392,6.965824943908032,0.0,11.015111595287458,10.863754062214738,12.500624073711542,5.480064426287996,5.994624107661242,7.9747318368719,16.224530900718328,17.60476715991276,15.175215737064377,14.322654400547613,9.518000445933822,8.175880909171568,21.130930266716703,22.093797107106823,18.594475648982126,17.618537436438974,18.24816892677616,22.506730390309546,16.346374418680618,16.654260529807758,16.19585539731088,19.56968374824835,19.355797264564075,17.2639729495727,20.386049175649667,18.386529171138754,16.740168872438737,15.671979175277063,14.244113520148975,17.48654969485312,18.16485898261397,18.66223374621871,15.206439911596808
PL43 - Lubuskie,15.929460009643226,11.13225794977745,9.140320090860058,20.67565692543831,54.62004488988583,13.994598392060936,17.58569757277965,22.3833652739846,15.871075591917943,13.705388600240994,9.612825068234606,10.013729265777872,9.270277275614394,12.251406481957801,11.808923976459017,10.485149136511197,9.686334401516657,11.015111595287458,0.0,8.161523380908122,11.10745031508074,10.41244150722509,10.775392967537801,11.334435068138532,8.826710748788063,10.53919567320861,7.738870053472976,11.096680626354917,9.775259525926216,4.778501166573362,31.52458378930328,29.54266246303017,29.609587244269584,25.707733072727088,25.697034282699505,33.52184198559701,26.520678072873864,26.03240663817398,23.98974167678042,25.967732389293523,23.998217851963368,26.543314063906326,28.821564185790002,28.000092384092877,27.755280467726195,26.68709077056452,25.259225115436433,28.50166129014058,29.10816395080824,29.677345341506168,23.2679744242624
PL51 - Dolnośląskie,16.80284972939545,12.984206404853591,12.855671347815015,23.70878573711515,56.51506926631798,17.3923243360598,18.799151605831305,24.27838965041675,21.81034197239758,15.570753091010602,11.907464147328565,13.368111770858938,11.187869120482706,16.728198945077143,9.837198302730691,8.633200681435056,7.760340095286111,10.863754062214738,8.161523380908122,0.0,8.831364988392064,10.26108397415237,9.724477144454951,11.183077535065813,7.10162212854928,11.068530983977947,9.176009990407156,8.361069351307986,11.627207981002357,7.698090266531636,31.37322625623056,29.39130492995745,29.458229711196864,25.55637553965437,25.545676749626786,33.37048445252428,26.369320539801144,25.881049105101262,24.024153451868482,27.14659601819715,24.46415362413149,26.391956530833607,28.670206652717283,27.848734851020158,27.603922934653475,26.5357332374918,25.107867582363713,28.35030375706786,28.95680641773552,29.52598780843345,22.89952615407062
PL52 - Opolskie,20.147853766332968,17.855336640837827,16.32313859900853,27.858475433586783,56.023152679284635,21.341213037361698,24.768516080928123,25.004442942876246,25.759230673699477,16.186585069824986,12.314563101994501,12.483344186846026,11.03618841795856,17.422171997179678,12.053257609644017,14.610567441770485,9.397210106782914,12.500624073711542,11.10745031508074,8.831364988392064,0.0,11.897953985649174,14.2692241705472,14.556569216079467,8.842563963801378,11.006521555167112,7.922476731395676,9.265780080612416,9.610968030342484,7.13168281842599,33.01009626772736,32.8310854265349,31.095099722693668,27.193245551151172,27.953320397845832,35.00735446402109,28.006190551297948,27.517919116598065,27.48357287978982,28.294101978744358,25.781535073765255,28.02882654233041,30.307076664214087,29.48560486251696,29.24079294615028,28.172603248988604,26.744737593860517,29.987173768564663,30.593676429232325,31.162857819930252,27.48636818095214
PL61 - Kujawsko-Pomorskie,13.969837849473368,11.716059810078328,12.578766083653882,22.288774806437615,54.55627383830651,15.972313405382266,17.37914067515377,22.319594222405275,20.390331041720046,20.46230757709752,9.968939528625675,11.86205870157901,13.51469440941559,9.80982134307736,13.939713301862877,11.920646951034364,7.913661948735147,5.480064426287996,10.41244150722509,10.26108397415237,11.897953985649174,0.0,6.251205479274034,7.154669791742872,15.62186081265596,17.002097071850393,14.57254564900201,13.719984312485245,8.915330357871454,7.5732108211092,22.38673794478528,24.08509225812472,19.197145737044494,19.163897141296154,18.090313492036415,23.109400478371914,17.929721459307608,18.56717313285305,17.280661600660842,24.078514877024055,21.396072482958395,21.145791749421157,22.027832656693327,19.988549994334633,18.102053570108865,20.179713468444753,14.846783608211343,18.08921978291549,22.810609982299702,19.26490383428108,18.740375012541968
PL62 - Warmińsko-Mazurskie,12.560276280579554,10.353434474938048,15.421900851521197,21.398475085805675,53.031070633688884,17.20004501878186,17.266613915028344,23.939593943950236,19.500031321088105,24.480781567778795,12.086822179566656,13.158784730423722,16.733561867320486,12.96571674544662,16.17260873496929,17.094413650057408,7.338790047636401,5.994624107661242,10.775392967537801,9.724477144454951,14.2692241705472,6.251205479274034,0.0,6.740124870184069,16.011650605317474,19.815257336706093,14.03593881930459,14.70026221678921,10.347756993158288,7.276065765829937,21.648749111775608,23.384304190588647,19.733752566741913,17.380786951348863,19.939873389590304,23.646007308069333,16.644843395346193,17.676035082256224,16.14509910798604,20.570912934409478,19.149966889494,18.257095035589913,21.190150416162126,18.656205422083776,17.879445790198524,16.81125609303685,15.383390437908762,18.625826612612908,19.303008039685125,19.801510663978497,18.039586945005894
PL63 - Pomorskie,8.301574829461256,11.733662384516911,15.709245897053464,24.38011424519901,57.44333542696322,18.06365284414366,19.470480113915166,25.206655811061992,22.48167048048144,24.76812661331106,12.374167225098923,12.784052262492452,17.02090691285275,16.64067504340773,16.459953780501557,15.830691894572833,6.2594306599706115,7.9747318368719,11.334435068138532,11.183077535065813,14.556569216079467,7.154669791742872,6.740124870184069,0.0,16.543854373569403,20.10260238223836,15.494539209915452,14.987607262321475,10.635102038690555,8.495204382022642,20.190148721164746,20.90100786287851,19.8532837440803,15.253852197757682,15.743093051634123,22.18740691745847,15.186243004735331,14.808218223599166,16.358337683188058,19.69969661612371,16.30344504814782,17.753576413872626,17.48712911765147,18.87613263543868,16.420845399587662,18.304312854695375,14.569565477645412,17.167226222002046,17.773728882669708,18.342910273367636,15.556290617295758
PL71 - Łódzkie,19.140803763336304,15.165132577922037,12.86687032322433,23.51896190052046,52.531264576251225,17.20250049946511,18.609327769236614,20.294584960349994,21.62051813580289,15.459729945384076,14.648724517116513,13.379310746268253,12.48235176213721,11.949379346547609,15.092500059648788,7.884238550512816,13.1211169337897,16.224530900718328,8.826710748788063,7.10162212854928,8.842563963801378,15.62186081265596,16.011650605317474,16.543854373569403,0.0,10.486735796454692,9.18720896581647,12.30006802305688,13.063435804327497,8.735584839487537,36.73400309473415,34.75208176846104,34.819006549700454,30.917152378157958,30.906453588130375,38.73126129102788,31.730097378304734,31.24182594360485,29.22599931456009,31.177151694724394,25.882737149758576,31.752733369337196,34.03098349122087,33.20951168952375,32.964699773157065,31.89651007599539,30.468644420867303,33.711080595571445,34.31758325623911,34.88676464693704,28.014966435307688
PL72 - Świętokrzyskie,20.95670374714723,16.54536883711647,14.526452493424333,23.220080561984364,56.552210566456644,16.903619160929015,18.31044643070052,24.315530950555413,21.321636797266795,14.479395778807152,14.670123821945012,15.285571413942325,13.129398718183971,18.2656961762976,13.83732241457426,8.70770007785169,15.329978845036923,17.60476715991276,10.53919567320861,11.068530983977947,11.006521555167112,17.002097071850393,19.815257336706093,20.10260238223836,10.486735796454692,0.0,14.704373346566086,9.177876392512509,15.248080855944693,12.539191570876156,38.149537113309776,36.13231802765547,36.19924280889489,32.29738863735239,33.49935356400472,40.11149755022231,33.11033363749917,32.622062202799285,33.02960604594871,33.84013514490325,30.53140391751679,33.132969628531626,35.411219750415306,34.589747948718184,34.3449360323515,33.27674633518983,31.848880680061736,35.09131685476588,35.697819515433544,36.26700090613147,29.39520269450212
PL81 - Lubelskie,20.09031637184505,16.188138204022966,11.800047975797824,24.289094176809282,55.614700949755225,17.972632775753933,20.17096579690134,23.378021333853994,22.390650412091713,15.402113478318064,10.406358146004315,10.20737857231208,11.249338284971412,17.63532186419253,10.692438871239997,14.043270231803845,12.07180177013575,15.175215737064377,7.738870053472976,9.176009990407156,7.922476731395676,14.57254564900201,14.03593881930459,15.494539209915452,9.18720896581647,14.704373346566086,0.0,9.590971270939,7.4329867531912726,7.020990343596132,35.6846879310802,33.70276660480709,33.7696913860465,29.867837214504007,29.857138424476425,37.68194612737392,30.680782214650783,30.1925107799509,28.64785194616012,30.127836531070443,28.592959311119884,30.703418205683246,32.98166832756692,32.16019652586979,31.915384609503114,30.84719491234144,29.419329257213352,32.6617654319175,33.26826809258516,33.83744948328309,26.965651271653737
PL82 - Podkarpackie,15.894123470403137,13.263256077751322,13.750292422775928,24.190553737459595,57.86245193870484,17.874092336404246,20.187248126014552,25.625772322803602,22.292109972742026,15.1893863579592,12.429369785181144,15.08059030786233,16.9621035290916,23.34808710831272,6.000372715714519,11.463082480997095,11.219240433618985,14.322654400547613,11.096680626354917,8.361069351307986,9.265780080612416,13.719984312485245,14.70026221678921,14.987607262321475,12.30006802305688,9.177876392512509,9.590971270939,0.0,9.882453357499386,7.424196450959272,34.832126594563434,32.850205268290324,32.91713004952974,29.015275877987243,29.00457708795966,36.82938479085716,29.82822087813402,29.339949443434136,27.914610926031827,29.27527519455368,24.396766409677973,29.85085686916648,32.12910699105016,31.307635189353032,31.06282327298635,29.994633575824675,28.566767920696588,31.809204095400734,32.415706756068396,32.98488814676632,26.113089935136973
PL84 - Podlaskie,16.117828466475093,10.501992542886548,9.130182325376762,20.505131335635504,49.20440837784897,16.292134289750507,17.415171982976844,18.855443664536043,17.76550318330017,14.833792796096734,8.862222312328448,10.0943549873848,11.674252260056985,17.300371869985085,11.664693276483824,20.260408662437413,9.702629593472508,9.518000445933822,9.775259525926216,11.627207981002357,9.610968030342484,8.915330357871454,10.347756993158288,10.635102038690555,13.063435804327497,15.248080855944693,7.4329867531912726,9.882453357499386,0.0,10.078804318618715,30.027472639949643,28.80106012667702,28.112476094915948,24.210621923373452,24.19992313334587,32.024730836243364,25.023566923520228,24.535295488820346,23.562105702400906,24.470621239939888,21.43265994901408,25.04620291455269,27.324453036436367,26.50298123473924,26.25816931837256,25.189979621210885,23.762113966082797,27.004550140786943,27.611052801454605,28.180234192152533,23.456342881094265
PL9 - Mazowieckie,15.728969713770294,11.43580274246995,9.19145578058254,21.2876331580993,54.520073191251406,16.13054688892214,17.636833262502133,22.283393575350175,19.38918939338173,17.204715801948858,9.507256670441492,10.317274058470371,10.107887764309314,16.493871343530433,9.31931829810523,10.181604343818698,5.07246694224294,8.175880909171568,4.778501166573362,7.698090266531636,7.13168281842599,7.5732108211092,7.276065765829937,8.495204382022642,8.735584839487537,12.539191570876156,7.020990343596132,7.424196450959272,10.078804318618715,0.0,28.68535310318739,28.41220137397222,26.770356558153694,22.868502386611198,22.857803596583615,30.682611299481113,23.681447386757974,23.19317595205809,22.31213452422411,25.530463308612497,22.848020914546836,23.707373254908678,25.982333499674112,25.160861697976987,24.916049781610305,23.84786008444863,22.419994429320543,25.66243060402469,26.26893326469235,26.838114655390278,23.067484128389466
