,PL21 - Małopolskie,PL22 - Śląskie,PL41 - Wielkopolskie,PL42 - Zachodniopomorskie,PL43 - Lubuskie,PL51 - Dolnośląskie,PL52 - Opolskie,PL61 - Kujawsko-Pomorskie,PL62 - Warmińsko-Mazurskie,PL63 - Pomorskie,PL71 - Łódzkie,PL72 - Świętokrzyskie,PL81 - Lubelskie,PL82 - Podkarpackie,PL84 - Podlaskie,PL9 - Mazowieckie,CZ010 - Prague,CZ020 - Central Bohemian,CZ031 - South Bohemian,CZ032 - Plzeň,CZ041 - Karlovy Vary,CZ042 - Ústí nad Labem,CZ051 - Liberec,CZ052 - Hradec Králové,CZ053 - Pardubice,CZ063 - Vysočina,CZ064 - South Moravian,CZ071 - Olomouc,CZ072 - Zlín,CZ080 - Moravian-Silesian,SE110 - Stockholm,SE121 - Uppsala,SE122 - Södermanland,SE123 - Östergötland,SE124 - Örebro,SE125 - Västmanland,SE211 - Jönköping,SE212 - Kronoberg,SE213 - Kalmar,SE214 - Gotland,SE221 - Blekinge,SE224 - Skåne,SE231 - Halland,SE232 - Västra Götaland,SE311 - Värmland,SE312 - Dalarna,SE313 - Gävleborg,SE321 - Västernorrland,SE322 - Jämtland,SE331 - Västerbotten,SE332 - Norrbotten
PL82 - Podkarpackie,9.869183699591256,16.14493315867859,13.770003526686727,12.464589041882054,13.264988059316734,13.22255381665382,10.157909621872419,18.07134276288411,16.131273921132976,18.257183598755528,12.0941105824537,10.27827800545755,10.87892707542097,0.0,13.198359137621217,15.808949102830159,39.18247400096459,59.335787087583036,52.09556985625529,65.78197420634834,64.04122659855797,51.07917429254277,65.76123874256486,81.91423661815747,62.97501572792053,50.15203970854747,36.614593287843626,46.96207999967579,50.016769209865366,48.523787138767986,23.318215872859078,23.202138756972502,23.871417659033902,30.17390505517446,22.437955894585915,20.592258022756052,24.646818492005597,24.721227403385793,21.4980239119626,17.302699105324198,12.997936488478244,28.902659424217607,33.692697031274115,29.538583260812,17.701174000900764,18.889907495561012,30.152981348440157,27.72935249337391,27.522204543993777,20.733366920028086,32.82788913176534
PL84 - Podlaskie,17.610320360386886,23.234606351199172,18.643067255437675,10.424022031034982,12.767625090239145,19.051569952911326,14.453025596217755,15.382238657723049,15.736372439764791,14.533563809183548,14.283041582276816,13.799934132091202,8.927164005288134,13.198359137621217,0.0,16.208927251895204,45.16490804044204,61.15023735566616,49.593023543444886,66.42829600046453,65.7556688943478,47.170909490001925,68.71670515726707,84.81656088483531,65.10424038260042,45.544793375892375,34.29667897813054,41.35906124338642,49.140757628081076,41.68906112892567,22.95069392381499,24.25998917290137,24.42202009104852,26.61442804797046,25.275082315435363,18.203315090646043,27.712624234488146,28.273880155201404,24.787032999928808,16.33240421689649,15.504067269999819,27.26684194705391,29.697936554517153,29.795052958560248,17.30812486612039,20.068242973447482,36.92882380144076,31.388095424852143,26.055617839107384,17.606032598675135,34.81497339568543
PL9 - Mazowieckie,14.459317784871134,17.131511293078095,13.613702239298354,13.777935975738332,11.507201781658049,15.096167566841034,15.025050153818478,14.002229448348526,15.151613227812481,12.412960798664354,12.720616129083963,15.141691968772264,14.497981168193661,15.808949102830159,16.208927251895204,0.0,31.447600666151352,48.82331781203369,46.940634493596775,55.33721902544957,46.027536938423104,42.630304457374876,52.47885191110269,73.72567164544988,51.82660939452172,43.19336503500152,31.288103803515693,40.497660266236224,45.649820139198674,40.847996251257165,23.269119765011432,19.560981236901153,17.762627864681996,19.769601796678945,18.943428498678987,24.186531914079243,30.93639479546631,19.414327326448696,14.370343990530293,22.544127965005227,17.671914521307706,25.402667049797824,22.00350565834137,28.739705957091708,14.74427022634714,15.622607332213954,27.379986749326715,22.25240719594063,22.37097017248536,16.956845707633537,28.859874322034447
CZ010 - Prague,39.256567664606436,29.63882181456528,26.687907656543363,36.16611311909586,32.47162814898624,28.094444274559127,37.279382281483166,32.06728752643529,33.56606524928004,28.049039061456224,33.84912225499042,41.652215430545,42.83187469213025,39.18247400096459,45.16490804044204,31.447600666151352,0.0,27.62854488476178,24.34953890916913,34.55783787333934,37.299561922152776,20.3798100138569,34.66993627572159,45.175348934758375,31.975913940117405,29.225882747182347,23.31176827791232,25.70804728401701,35.71821750371905,32.40340118688683,38.08252335560475,34.57008079767361,37.505362160629744,35.34974554716139,32.03813410164444,45.77929092114343,42.56233778964679,33.49805518842513,31.39219565385675,39.625776088602585,34.680390469864854,34.522065243790095,29.375569628569725,36.985041588497495,42.39216235547983,32.08724755027987,31.789077847801952,27.911378376712477,38.672926128385264,34.61452642362774,45.05161084644881
CZ020 - Central Bohemian,61.5840278973303,49.95486481747244,47.357458207188884,55.0491626850208,53.022011859688035,49.2229390573991,54.979632118413996,48.85470201977112,53.98630626923355,45.684922691700585,62.474937376711274,66.83994425866392,54.206166471433555,59.335787087583036,61.15023735566616,48.82331781203369,27.62854488476178,0.0,26.572143372914066,26.423157760349092,28.182297271114567,30.532725578550703,18.15448290170787,32.46341130564841,19.97383693455008,34.95894022812597,30.597872675757007,31.427229968640464,36.23985490058084,33.15471532043971,63.63172625401598,58.89251960563258,56.30735498146254,55.54760922684095,52.94895262422062,62.53017624191045,56.73673706371014,50.23398689357594,46.85732313802133,52.47232613686909,54.485579410600856,40.98512763908,35.6654361941563,57.3345877186414,60.06697637434259,55.8193047124777,46.53363718000027,43.903688271441176,58.41386782503843,53.61662563623438,64.47887809312896
CZ031 - South Bohemian,52.81361661096462,41.08191799209268,39.31628642693758,45.69882678534707,43.07818970430241,39.70724864861755,49.663283562722086,38.71434836352404,42.83963354791304,39.31460677223273,51.784009025641396,57.30224250626064,49.15333531838014,52.09556985625529,49.593023543444886,46.940634493596775,24.34953890916913,26.572143372914066,0.0,34.68369854576469,42.176546856527885,21.606627954277524,28.77323465845442,33.894821773012616,29.483141409556055,23.902050613487113,24.90764910162761,22.163958161467733,33.05140380931123,29.761413630007095,49.37918572791218,50.19206321229288,53.22970405808743,50.1809654363457,45.713759714156495,54.3454839648609,48.6832259774494,42.423793385587935,39.738879052616184,45.92793837235467,47.320096730023145,37.89946474213244,31.641692819130117,48.19302818775275,50.22001342197879,47.93087221257341,31.586544014568847,37.35738850903982,49.72227708780494,45.31939698679721,52.78662821775555
CZ032 - Plzeň,66.83283461052059,50.125906552943576,49.44264681438749,60.549350365005644,53.074626396781504,49.84902321901644,61.28305122757832,50.34707456487508,55.37279088615372,48.886142106655235,62.67554942017002,69.96405486358053,60.7561943543381,65.78197420634834,66.42829600046453,55.33721902544957,34.55783787333934,26.423157760349092,34.68369854576469,0.0,28.450521011574732,29.725367489616087,28.759008501493742,27.392129285157395,29.34180392835835,41.02318673952712,34.041753058976845,34.46993096421442,37.30114748822285,30.72507225518345,66.36489455828173,60.11279544728759,62.36863884643591,57.88984789167525,53.39712073810316,67.27432681144506,60.895724272922585,56.0864623083681,49.560087565408715,54.6357065088919,60.78239322413816,44.6433072456881,39.40574623552374,63.367058177998665,63.843624130440794,58.40852471768057,51.363845319106375,48.835382612290324,61.3125967986491,58.87623329884573,72.5155726246701
CZ041 - Karlovy Vary,60.94138777129691,44.39431240821126,43.61040742466307,59.81783819049613,54.020165268719516,46.555710990758655,59.47527555367498,50.12055939069895,57.86864674144066,46.47198703952014,59.09305687619414,68.97459340808544,61.99783138325128,64.04122659855797,65.7556688943478,46.027536938423104,37.299561922152776,28.182297271114567,42.176546856527885,28.450521011574732,0.0,35.219540692129456,25.52534094476855,33.20338639626776,31.844393031303365,44.829565756201944,39.023566968897484,42.75723142913175,42.38315613912546,31.63678578412396,63.093107414855446,57.22414554827467,61.065231375592354,55.970514904147244,51.92715524205163,68.16832571301742,63.94768449135792,55.32025900257975,48.182926536474966,53.96405481231934,60.22271639175853,45.904529958569206,44.092519947995655,66.39144085836614,65.11959700038352,56.84066283763413,55.240069923495476,43.18936381914753,60.160792904508874,61.108662644009065,74.47348736750094
CZ042 - Ústí nad Labem,52.69228960154258,41.352694069447324,34.76095856532912,43.532102063143874,41.18299384198904,38.958136189032146,49.8557390486236,36.556480584200955,38.10900409523802,34.373589390690555,46.67817005578586,52.79154127346509,42.87637890211152,51.07917429254277,47.170909490001925,42.630304457374876,20.3798100138569,30.532725578550703,21.606627954277524,29.725367489616087,35.219540692129456,0.0,32.61341712158345,37.015114410793494,27.63406479151375,26.68459633442847,21.425659869003113,25.90792899357375,33.520677283754075,25.837869739505315,45.575350921596616,43.147095646458354,46.3302190457379,45.36150941688593,41.59477183535719,53.22182172863224,46.100326568578254,44.83767238724911,38.27962944067389,42.14994089044517,44.766345578142484,36.54183136196906,31.280224493846728,42.390931167222114,46.63657740005446,43.64278822263135,38.123165417072336,35.35867212037955,49.01610663306766,41.928543483615606,49.47234657357274
CZ051 - Liberec,67.8155698811343,54.164214139955305,51.14967454199895,63.90654959622329,63.11575815817053,53.43688690987023,60.02451581774938,56.08366104245838,63.27726322401801,52.64183309745864,69.84976789122757,74.22232101917659,62.6310514568077,65.76123874256486,68.71670515726707,52.47885191110269,34.66993627572159,18.15448290170787,28.77323465845442,28.759008501493742,25.52534094476855,32.61341712158345,0.0,37.10544105770072,22.531473815139645,37.10287119650746,40.22943556037037,36.814839954853475,34.459427077842605,31.369904007553625,71.7040153596127,68.58798134696976,63.00411680227896,65.88208386936029,58.310293048993564,69.93065283908628,65.24420922750791,56.92765674041172,54.7488021569484,55.45566638059067,57.81192168712256,41.54391410159786,37.441385381532555,66.30514443515784,67.34148556915302,62.42730737188806,48.264565327360664,47.008915101932494,67.06467634161886,62.90341826212877,74.88629425228578
CZ052 - Hradec Králové,83.45487666381133,65.89395097515632,67.40300867259413,78.20560025758607,74.9129869046934,68.33825947818775,75.71616463453753,69.03665138696125,76.57118132046948,66.38632628179626,85.26834587621185,88.63740549573792,78.88747910016521,81.91423661815747,84.81656088483531,73.72567164544988,45.175348934758375,32.46341130564841,33.894821773012616,27.392129285157395,33.20338639626776,37.015114410793494,37.10544105770072,0.0,31.860215017887878,43.31986302428514,48.48949746324135,42.1501569568158,33.967148573069856,32.80888609277474,87.41361400481055,82.62668552746543,87.84571573566089,83.1455803167345,76.36877978173793,85.73680454956282,80.47023909347905,76.00708308197036,68.15607905897537,73.65890765561669,76.77774268810712,61.08279817160921,52.75394117713071,80.79415971069069,89.24783367777746,81.08866397479957,61.99978783273933,63.33737102814855,85.06934619989015,78.57480571482323,96.38358477314904
CZ053 - Pardubice,65.06527832500282,51.7805984385372,49.923681597569505,58.07545779570769,57.48542545827131,51.195096407671386,56.60238469545319,49.99983647000966,56.65701089183554,48.70015941564424,66.17334164294269,69.31744824947762,59.54999979418096,62.97501572792053,65.10424038260042,51.82660939452172,31.975913940117405,19.97383693455008,29.483141409556055,29.34180392835835,31.844393031303365,27.63406479151375,22.531473815139645,31.860215017887878,0.0,39.906362111468326,36.28725368561483,36.68827729544976,33.069482786330155,32.50394646865117,66.22849278251086,64.30806569219263,59.80483006802137,62.58946828876682,57.61323774664835,65.87853733645369,61.50483383731779,56.376765471217894,50.34211786620074,55.956947791333036,55.88926426635733,43.07090220918894,40.07836723495709,59.75591444808665,63.595231527062175,60.74242144565634,48.49854942712479,46.96125956502238,62.7103185620861,58.16527541384297,69.04737734959738
CZ063 - Vysočina,52.35609422358871,45.22941210525841,44.12771438360981,45.18101713605267,47.07535254898872,45.46509396026832,47.72737168301527,40.570670563675336,40.5908127911483,41.163831613458626,50.21877016546721,52.02218363495174,44.21558663980512,50.15203970854747,45.544793375892375,43.19336503500152,29.225882747182347,34.95894022812597,23.902050613487113,41.02318673952712,44.829565756201944,26.68459633442847,37.10287119650746,43.31986302428514,39.906362111468326,0.0,21.631114631522586,14.431281672197724,28.03706709312951,26.371719383782704,50.702918577769864,51.8834201420391,47.734641989394646,49.421089508839074,49.9428710100855,50.34474012256308,46.97227823965459,42.968884418075014,43.183793669593705,43.97127362351043,45.81255284319109,34.189128224355315,24.788542157829664,44.502512446121685,45.25918257290892,49.266110337634736,34.249525222276965,39.3515947343824,51.743004799250514,47.71286710070732,51.58211206488437
CZ064 - South Moravian,39.91122771541621,32.609760739413396,26.778178499108257,31.258755169880217,28.508177614917926,30.75983800235843,34.97787095022415,25.01297297877643,26.964637067664906,24.391488784162537,35.70367994894961,42.87131012032098,34.56101299708021,36.614593287843626,34.29667897813054,31.288103803515693,23.31176827791232,30.597872675757007,24.90764910162761,34.041753058976845,39.023566968897484,21.425659869003113,40.22943556037037,48.48949746324135,36.28725368561483,21.631114631522586,0.0,19.218397984388364,31.36550500142076,23.943866378436933,35.229160194468506,35.98314651240353,39.932025285929996,37.31859723831621,33.77586211531548,37.83336471325191,34.33566582090816,31.600651219577024,26.71498385902775,33.38573127076581,32.30198961308459,29.79680597846854,23.88853764614941,32.67408698728576,35.36360962661464,33.78968031011189,29.165523863527188,26.646716767316697,37.94552800752551,31.16904879326016,39.37452072503566
CZ071 - Olomouc,49.14391987452616,39.750553031225465,33.79718280728174,39.20173368931641,36.81604246942639,35.8789383281895,43.48521357731079,33.746210629243855,33.54550948415484,30.77282500698805,42.17161231910529,47.72587224342712,41.46113854260154,46.96207999967579,41.35906124338642,40.497660266236224,25.70804728401701,31.427229968640464,22.163958161467733,34.46993096421442,42.75723142913175,25.90792899357375,36.814839954853475,42.1501569568158,36.68827729544976,14.431281672197724,19.218397984388364,0.0,28.9093288108834,26.608875461113577,39.96490636148644,39.97488294121557,42.085705069792574,38.89743020793457,39.009447769653555,47.07068927110551,41.58513294952917,37.88752837308534,33.081203568228425,40.59619099439073,38.43831482324219,35.640689019349544,23.36760000493013,37.865850996958166,39.579249369181504,39.82901071410169,25.82575642640027,31.72996191184543,41.29905090017521,37.906585643307025,45.42693439977524
CZ072 - Zlín,53.978142030164406,49.32052693507278,40.39593478809552,42.788312904813594,43.54427388348282,45.805410353089464,45.60007970042982,37.04626860786491,39.7580234383132,40.75545521536047,46.19792394826394,53.65391675469619,47.19861850833541,50.016769209865366,49.140757628081076,45.649820139198674,35.71821750371905,36.23985490058084,33.05140380931123,37.30114748822285,42.38315613912546,33.520677283754075,34.459427077842605,33.967148573069856,33.069482786330155,28.03706709312951,31.36550500142076,28.9093288108834,0.0,26.62838727104981,44.90121131611417,47.5906633427595,49.13673226279178,49.93997507274895,49.14938786972863,50.39972540956201,51.319325393439996,45.822886355013516,46.807507248883404,46.96947335507863,43.14523994951675,36.518000228604805,37.803130398519,40.47392184447197,47.28150822830295,49.86843878906034,38.84374232391677,43.94841835873445,51.31794784681643,47.55441094438174,49.95759804547213
CZ080 - Moravian-Silesian,50.448122174583744,43.47077039218084,37.64869258276022,42.464885183513545,43.5696159010057,41.58810319696482,44.67572176346828,36.49408404562622,38.56596355097566,35.61315376036373,47.66730230980422,48.659623985958106,41.99323029527112,48.523787138767986,41.68906112892567,40.847996251257165,32.40340118688683,33.15471532043971,29.761413630007095,30.72507225518345,31.63678578412396,25.837869739505315,31.369904007553625,32.80888609277474,32.50394646865117,26.371719383782704,23.943866378436933,26.608875461113577,26.62838727104981,0.0,38.23618552897804,41.94509021321253,45.03535437015634,45.29362732498253,38.85435972371143,44.50766603546373,39.46602777689083,40.2059193477853,38.5100305746709,38.1163958065495,42.59700571772461,33.170573156013,29.602339632560522,37.73559931661815,40.22926960556217,41.28303815072469,34.48217445456111,34.17178677164367,42.5628269588157,39.56491903265775,46.538181961410956
