,PL21 - Małopolskie,PL22 - Śląskie,PL41 - Wielkopolskie,PL42 - Zachodniopomorskie,PL43 - Lubuskie,PL51 - Dolnośląskie,PL52 - Opolskie,PL61 - Kujawsko-Pomorskie,PL62 - Warmińsko-Mazurskie,PL63 - Pomorskie,PL71 - Łódzkie,PL72 - Świętokrzyskie,PL81 - Lubelskie,PL82 - Podkarpackie,PL84 - Podlaskie,PL9 - Mazowieckie,CZ010 - Prague,CZ020 - Central Bohemian,CZ031 - South Bohemian,CZ032 - Plzeň,CZ041 - Karlovy Vary,CZ042 - Ústí nad Labem,CZ051 - Liberec,CZ052 - Hradec Králové,CZ053 - Pardubice,CZ063 - Vysočina,CZ064 - South Moravian,CZ071 - Olomouc,CZ072 - Zlín,CZ080 - Moravian-Silesian,SE110 - Stockholm,SE121 - Uppsala,SE122 - Södermanland,SE123 - Östergötland,SE124 - Örebro,SE125 - Västmanland,SE211 - Jönköping,SE212 - Kronoberg,SE213 - Kalmar,SE214 - Gotland,SE221 - Blekinge,SE224 - Skåne,SE231 - Halland,SE232 - Västra Götaland,SE311 - Värmland,SE312 - Dalarna,SE313 - Gävleborg,SE321 - Västernorrland,SE322 - Jämtland,SE331 - Västerbotten,SE332 - Norrbotten
PL84 - Podlaskie,215.17503214852593,422.38588417941884,327.4252101585984,200.63515488380608,215.12672575102727,379.1666690880855,172.44457209458602,211.0144379934937,214.26131860504537,270.48504786048323,191.97288735066707,155.36852001919056,103.89767043530429,144.92571024570833,0.0,299.0087945790503,663.171473722293,900.9423594051456,708.4590528794645,1137.189817618966,1040.632257400014,686.7163032484909,910.0577348152617,1112.3644604565195,856.141057993189,667.9457589579224,618.5752097196294,765.5883827460143,973.7274731961611,898.4421501222677,309.82784105503094,326.95710037271675,296.11207482333157,412.6840160759129,350.10397370752423,320.05075094472346,285.0371195795146,490.4620698920667,441.99416243272645,370.76227749809016,429.1541191550276,574.3214405605177,515.2136191894681,339.05514133334935,262.6865012306275,306.5328751611911,734.7287851202839,516.0849570016803,350.66175315353155,325.3419289349837,374.5546555739138
PL9 - Mazowieckie,257.4985846240023,362.1658270104473,304.2474843418697,208.350196357164,197.02641729715467,325.3470341710945,293.94200475988646,162.9881123967231,194.29466059108563,127.55841501953515,164.6083007688915,185.0355191352137,298.74194112654055,164.45644226585404,299.0087945790503,0.0,606.679392836804,818.0721060830359,651.6513787298873,1080.697736733477,1044.4731518423807,579.7129323797129,853.5656539297728,1107.4336346926325,839.3296230725155,663.0149331940355,613.6443839557425,708.7807085964369,916.9197990465836,893.5113243583808,301.61518863615277,272.2843054689342,233.6232830535455,371.9613523614746,290.56417903300326,310.2084462859119,261.81413291376793,467.2390832263201,418.7711757669798,391.60806769742317,421.1023662958677,569.3906147966308,510.2827934255812,323.5634694961178,283.971926357853,251.75367464384834,719.2371132830524,449.23300919510245,327.4387664877849,354.7339006458069,376.3094032870017
CZ010 - Prague,713.7768813355264,685.2844809613359,684.4138919967513,689.7393138092654,594.0120666802178,681.3109054279759,746.645891600512,631.7207716457983,592.7491650685133,558.8794889738531,701.59424684552,722.8438896174557,718.4966084385707,647.58149555492,663.171473722293,606.679392836804,0.0,278.19735725873494,517.1109786062386,474.01834389667295,705.6592133852046,288.336171821914,453.76271768600367,590.7087123391581,418.3106465128396,609.6032190891517,298.00524960556805,374.15476249473915,521.4516987327263,353.7412374893977,611.6491292801038,645.092000265426,690.337255038429,639.9629742880447,647.070149492383,705.8453467136083,661.5127368898017,672.3567123766225,694.488392765538,777.8013724353832,757.2790337436234,640.3875222525058,677.6355798751736,656.5497636139752,697.4742137572279,665.7098486682137,699.8566289485799,713.220579654992,690.1773422192805,709.9170941224073,686.0639882038078
CZ020 - Central Bohemian,925.1695945817582,896.6771942075677,918.9523135320544,940.9436631863093,821.8750342811891,898.3676182015574,972.3466541246687,846.4803288138635,687.2728599637128,770.5950648806574,927.8413111885949,958.1312515942492,976.5860781631185,869.5012235013442,900.9423594051456,818.0721060830359,278.19735725873494,0.0,383.8099665032338,262.62563065044105,604.6410804514053,238.359173703323,190.99835550050216,511.7943555910662,186.95618201190587,501.57161227511574,467.38932888655575,499.8321077967896,664.2707498989863,605.6193747448364,823.7445371824963,897.7682417654402,870.9265573292447,886.1250525937173,862.3785736270529,934.5120097102999,791.7404050550763,950.3026813265012,849.5340126319262,996.9446818328491,997.660220948078,896.0186535953122,762.3149548161462,821.012776278621,908.8669270034598,902.759840680437,784.5360038895525,932.1712194818679,823.6129172082037,794.5964690633799,770.7433631447803
CZ031 - South Bohemian,668.666400268981,690.8413935198537,664.3739010937741,687.831955014833,653.5075626732857,718.2498255475869,717.7682416863884,591.9019163755833,710.6877218854165,670.2953602165412,673.2628987503147,703.552839155969,722.0076657248383,614.9228110630639,708.4590528794645,651.6513787298873,517.1109786062386,383.8099665032338,0.0,646.4355971536748,771.8808423917566,228.7748067843246,419.30351434997067,624.6314558709231,365.3868375278979,242.83222591273818,294.8458835741461,259.7920308533328,409.6923374607061,400.4606648049175,729.587686097007,763.0305570823292,808.2758118553322,743.9935116533393,654.5121584956294,788.729914343762,779.4512937067049,752.4689662442418,821.8514641112563,798.6946043516396,813.2586659205216,758.326079069409,795.5741366920768,774.4883204308784,826.5131026357948,780.0168863809877,817.7951857654831,845.4607089932911,857.5225216992142,827.8556509393105,808.0727693119718
CZ032 - Plzeň,1187.7952252321993,1159.3028248580088,1158.4322358934241,1163.7576577059383,1068.0304105768907,1155.3292493246488,1220.664235497185,1105.7391155424712,948.7642986061392,1032.897832870526,1175.6125907421929,1196.8622335141288,1192.5149523352436,1121.599839451593,1137.189817618966,1080.697736733477,474.01834389667295,262.62563065044105,646.4355971536748,0.0,562.6111485025898,500.98480435376405,313.37289024520135,626.3138854499152,358.2098738297982,764.1972429255568,730.0149595369968,762.4577384472307,913.3867288124998,827.7595813860706,1040.8581452490175,1116.8627079173064,1106.7998617936705,1113.9813181847178,1121.0884933890559,1179.8636906102813,978.1752659700155,1136.8595466222898,1085.064296433257,1251.819716332056,1231.2973776402964,1096.4149782306545,888.0560817222645,962.8211321310323,1171.4925576539008,1139.7281925648865,899.6374755788886,1151.8188015546525,1054.0703054130531,897.5366684096891,977.2317782680163
CZ041 - Karlovy Vary,1098.5167690449794,1084.777715441972,1062.2315629198365,1035.6791440053578,1037.8952714889963,1080.5678650195282,1088.6577726338483,998.5238123156836,982.9066547475722,1003.8623017525362,1076.8596265170095,1090.970820795828,1072.2564879908946,1088.8594139581035,1040.632257400014,1044.4731518423807,705.6592133852046,604.6410804514053,771.8808423917566,562.6111485025898,0.0,760.2218476974892,560.4828917959198,446.2001748601159,552.9939548802613,843.4801670359658,802.0432356550225,786.5525352523837,889.1076440325728,854.9870278934213,1017.4700991144771,1006.8114700566358,1045.1298374216015,970.8428248653745,1029.3288565075827,1028.11946814464,894.2128997221835,985.1153241566485,1010.4169344856114,1119.5057960792635,1079.553155174655,944.6707557650133,840.5968644021191,912.7893543949447,1029.4370485411391,1046.404683483402,947.0168995305735,1000.0745790890112,961.1331369492518,915.3066219072606,969.8826166432261
CZ042 - Ústí nad Labem,691.3101781453805,659.3015015523882,687.0176789701736,709.0090286244287,589.9403997193084,666.4329836396769,740.4120195627879,614.5456942519828,579.1080900760093,543.2763380902679,695.9066766267142,726.1966170323685,744.6514436012378,637.5665889394635,686.7163032484909,579.7129323797129,288.336171821914,238.359173703323,228.7748067843246,500.98480435376405,760.2218476974892,0.0,342.8922232917258,645.1746756286286,330.067923970052,324.7378676476179,284.8236557365956,266.8247067061544,439.2782448834282,435.5198219645534,591.8099026206157,665.8336072035595,690.0189354763608,690.8942137166554,671.6895578874088,702.5773751484192,619.4172169556152,787.5281234038777,746.5863576227187,794.1517993478849,787.5530179316148,717.0978107276725,682.890176198814,649.934932311432,751.2479961472571,670.8252061185564,739.2616579536977,770.1956025047534,782.2574152106765,730.7731354211533,732.8076628234342
CZ051 - Liberec,960.6631424284951,932.1707420543046,931.3001530897201,939.2666122322487,840.8983277731866,928.1971665209446,993.5321526934808,878.607032738767,721.632215802435,805.7657500668217,948.4805079384888,969.7301507104246,974.9090272090579,894.4677566478888,910.0577348152617,853.5656539297728,453.76271768600367,190.99835550050216,419.30351434997067,313.37289024520135,560.4828917959198,342.8922232917258,0.0,413.2335052750864,96.94956694302039,537.0651601218526,502.8828767332926,535.3256556435265,686.2546460087956,603.9423237907757,822.0674862284357,896.0911908113795,879.6677789899662,886.8492353810136,893.9564105853517,952.731607806577,790.0633541010156,948.6256303724406,857.9322136295527,1024.6876335283519,1004.1652948365922,894.3416026412516,764.538103387981,819.3357253245604,944.3604748501966,912.5961097611823,786.7591524613874,930.4941685278072,826.9382226093489,796.8196176352149,772.9665117166153
CZ052 - Hradec Králové,1192.6511749831427,1151.2505570599928,1059.2879552433199,978.2961190003175,1098.5743658115741,1155.70211470862,1147.635939679198,950.589360913699,958.0231947009972,995.5974222922822,1096.1761449279886,1193.0447576696617,1133.499072364899,1145.3801871417534,1112.3644604565195,1107.4336346926325,590.7087123391581,511.7943555910662,624.6314558709231,626.3138854499152,446.2001748601159,645.1746756286286,413.2335052750864,0.0,443.85482587377305,696.2307805151323,654.793849134189,643.8868610480043,781.9895700784812,707.7376413725879,1023.7344646742816,975.6699036766354,986.8447094900705,952.2372947078252,992.2293048753957,994.4021519046604,939.5745302877584,951.398007916669,972.5501861634948,1066.3581776264352,1045.8358389346756,918.4493156504626,955.6973732731303,934.611557011932,1114.494324290244,1019.8693972261502,977.9184223465367,991.2823730529487,968.2391356172373,1024.1965287996318,1052.295508663787
CZ053 - Pardubice,924.5471633630257,883.1465454398757,877.3834762676473,882.7088980801614,830.470354191457,887.598103088503,939.6154758714081,824.6903559166942,689.9191830808802,751.849073244749,894.563831116416,924.9407460495447,911.4661927094667,877.2761755216362,856.141057993189,839.3296230725155,418.3106465128396,186.95618201190587,365.3868375278979,358.2098738297982,552.9939548802613,330.067923970052,96.94956694302039,443.85482587377305,0.0,483.14848329977985,448.96619991121986,481.40897882145373,632.3379691867228,546.7108217602937,759.8093856232407,835.8139482915294,825.7511021678935,832.9325585589409,840.039733763279,898.8149309845043,723.1215846182122,881.6838608896371,843.5078316231508,970.7709567062792,950.2486180145195,827.3998331584481,779.8116501992461,752.3939558417569,890.4437980281239,858.6794329391096,836.1831319541297,870.7700419288756,879.1788892111085,827.6946094215854,829.7291368238663
CZ063 - Vysočina,748.2324734845457,706.8318555613957,614.8692537447228,667.2260243132392,677.6938458154953,711.283413210023,703.2172381806009,506.17065941510197,657.85135790204,581.7809101754603,651.7574434293916,748.6260561710649,689.0803708663019,700.9614856431563,667.9457589579224,663.0149331940355,609.6032190891517,501.57161227511574,242.83222591273818,764.1972429255568,843.4801670359658,324.7378676476179,537.0651601218526,696.2307805151323,483.14848329977985,0.0,357.35807031214347,302.91979763951997,422.06409019897785,288.6652004601275,655.5269824099958,714.7227204564507,772.548440566094,737.7799502950807,577.3470443789198,691.6182696152575,682.7628753634356,629.9776738900813,849.68327256578,747.34920263651,878.3699379817014,781.758458553782,812.400943389454,743.7114567530887,852.1249947396014,763.5928799963349,810.4784195642234,843.924789900207,873.7468170583916,769.2777075063458,771.3122349086267
CZ064 - South Moravian,698.8619242462527,657.4613063231027,565.4987045064297,510.0038295492723,604.785115074684,661.91286397173,653.8466889423079,456.8001101768089,532.8595964198557,501.80817155539216,602.3868941910986,699.2555069327718,639.7098216280089,651.5909364048632,618.5752097196294,613.6443839557425,298.00524960556805,467.38932888655575,294.8458835741461,730.0149595369968,802.0432356550225,284.8236557365956,502.8828767332926,654.793849134189,448.96619991121986,357.35807031214347,0.0,234.9574553321105,443.0965457822573,356.0994300621843,551.7595606314462,585.2024316167684,630.4476863897714,566.1653861877785,498.44005413850556,610.9017888782012,601.6231682411441,521.2932917890221,634.5988241168805,620.8664788860788,635.4305404549608,580.4979536038483,617.746011226516,596.6601949653176,635.081375488469,602.1887609154269,639.9670602999223,653.3310110063344,630.2877735706229,650.0275254737497,626.1744195551502
CZ071 - Olomouc,700.2983285481778,747.9707233864034,702.4132559357886,744.9612848813829,710.6368925398355,775.3791554141366,655.283093244233,636.5004671783227,767.8170517519663,727.4246900830909,692.1129036362323,700.6919112346968,725.482037429608,655.5269725444535,765.5883827460143,708.7807085964369,374.15476249473915,499.8321077967896,259.7920308533328,762.4577384472307,786.5525352523837,266.8247067061544,535.3256556435265,643.8868610480043,481.40897882145373,302.91979763951997,234.9574553321105,0.0,208.1390904501468,292.69507243213036,786.7170159635567,820.1598869488789,865.4051417218819,801.122841519889,711.6414883621791,845.8592442103117,836.5806235732546,756.2507471211326,869.556279448991,855.8239342181893,870.3879957870713,815.4554089359588,852.7034665586264,831.6176502974281,870.0388308205795,837.1462162475374,874.9245156320328,888.2884663384449,865.2452289027334,884.9849808058602,861.1318748872607
CZ072 - Zlín,886.2230011312796,956.1098138365502,910.5523463859354,953.1003753315297,918.7759829899823,983.5182458642834,842.0465984222194,844.6395576284694,975.9561422021131,935.5637805332377,900.2519940863791,905.838053370248,933.6211278797548,863.6660629946003,973.7274731961611,916.9197990465836,521.4516987327263,664.2707498989863,409.6923374607061,913.3867288124998,889.1076440325728,439.2782448834282,686.2546460087956,781.9895700784812,632.3379691867228,422.06409019897785,443.0965457822573,208.1390904501468,0.0,464.679884243953,994.8561064137035,1028.2989773990257,1073.5442321720288,1009.2619319700358,919.7805788123259,1053.9983346604583,1044.7197140234014,964.3898375712794,1077.6953698991376,1063.963024668336,1078.527086237218,1023.5944993861056,1060.8425570087732,1039.756740747575,1078.1779212707263,1045.285306697684,1083.0636060821796,1096.4275567885918,1073.38431935288,1093.124071256007,1069.2709653374075
CZ080 - Moravian-Silesian,978.728864648891,937.328246725741,845.3656449090681,727.4937994725583,884.6520554773223,941.7798043743683,933.7136293449462,736.6670505794473,744.1008843667455,781.6751119580305,882.2538345937369,979.12244733541,919.5767620306472,931.4578768075015,898.4421501222677,893.5113243583808,353.7412374893977,605.6193747448364,400.4606648049175,827.7595813860706,854.9870278934213,435.5198219645534,603.9423237907757,707.7376413725879,546.7108217602937,288.6652004601275,356.0994300621843,292.69507243213036,464.679884243953,0.0,809.8121543400299,761.7475933423837,772.9223991558188,738.3149843735735,778.3069945411439,662.0062769614988,669.9535751755661,539.1736388450016,656.2706993608887,799.226939104753,644.115993498131,570.4643243854193,596.1626727648202,661.050181212197,900.5720139559925,805.9470868918985,648.9459996918677,749.0187040941873,745.0481354195915,810.27421846538,838.3731983295352
