,CZ010 - Prague,CZ020 - Central Bohemian,CZ031 - South Bohemian,CZ032 - Plzeň,CZ041 - Karlovy Vary,CZ042 - Ústí nad Labem,CZ051 - Liberec,CZ052 - Hradec Králové,CZ053 - Pardubice,CZ063 - Vysočina,CZ064 - South Moravian,CZ071 - Olomouc,CZ072 - Zlín,CZ080 - Moravian-Silesian,PL21 - Małopolskie,PL22 - Śląskie,PL41 - Wielkopolskie,PL42 - Zachodniopomorskie,PL43 - Lubuskie,PL51 - Dolnośląskie,PL52 - Opolskie,PL61 - Kujawsko-Pomorskie,PL62 - Warmińsko-Mazurskie,PL63 - Pomorskie,PL71 - Łódzkie,PL72 - Świętokrzyskie,PL81 - Lubelskie,PL82 - Podkarpackie,PL84 - Podlaskie,PL9 - Mazowieckie,SE110 - Stockholm,SE121 - Uppsala,SE122 - Södermanland,SE123 - Östergötland,SE124 - Örebro,SE125 - Västmanland,SE211 - Jönköping,SE212 - Kronoberg,SE213 - Kalmar,SE214 - Gotland,SE221 - Blekinge,SE224 - Skåne,SE231 - Halland,SE232 - Västra Götaland,SE311 - Värmland,SE312 - Dalarna,SE313 - Gävleborg,SE321 - Västernorrland,SE322 - Jämtland,SE331 - Västerbotten,SE332 - Norrbotten
PL41 - Wielkopolskie,0.17314753892091597,0.17657307567665662,0.20149325116132977,0.22003677002639294,0.33764327828737495,0.20782931846639183,0.23276676970797988,0.2375206710178133,0.22559330135207215,0.21893423076214819,0.17181835407933443,0.20564445677767298,0.21668085133350956,0.18339638709757253,0.15219728608394792,0.15089014784175567,0.0,0.16337298742699313,0.1796943125415863,0.14049387879259298,0.17725640728499198,0.14536929710480856,0.16464413934218197,0.14272697448427657,0.14881138579570696,0.18608956880963395,0.14849718548120158,0.1655045515879749,0.1700263201681219,0.1299345943689164,0.1741960955553068,0.20694030275973052,0.24339741312234434,0.2238372701218532,0.24603674227260308,0.24075922322684098,0.22074072267624376,0.2605054662100381,0.2638891539288727,0.38984614474356766,0.2815569880676318,0.18356486616072812,0.2228811853748666,0.1835345234712693,0.25353326148997574,0.24361655927172388,0.2525424192256778,0.2637385678261474,0.3044373357242235,0.24092081864503867,0.2567785226499507
PL42 - Zachodniopomorskie,0.1952401956552405,0.1947100440178354,0.21717439703854466,0.23812017364930196,0.3462474842261333,0.2279523627065603,0.2392057051508503,0.25271422827822193,0.24427007279373966,0.2354883308834361,0.1977288191253769,0.21875683658842768,0.22390225764889105,0.1889101073473135,0.18490182374113132,0.19745311286289388,0.16337298742699313,0.0,0.20822260430737805,0.18563472804228323,0.20834833055519716,0.161872838874952,0.1697415983537846,0.1641746455887269,0.18762577100683525,0.22063246229393402,0.1873309618639439,0.20564137659452184,0.19858277178844425,0.17443039924613352,0.19595670758240172,0.22235398861652492,0.2562803651701029,0.23938242408249621,0.2576447106497997,0.2570558352565925,0.23376202693765613,0.27206120673172524,0.2760697125871346,0.4003734084827454,0.2899539584113519,0.2000798656320187,0.23573730388548886,0.20361775535484147,0.2652272073572482,0.2572522488932491,0.25896127721773043,0.2773081544802484,0.31390491937795995,0.2521253937952918,0.2681260301490767
PL43 - Lubuskie,0.2189062817783603,0.21577417681652716,0.22271598978750382,0.24377184449489914,0.35195179418873973,0.2281494567241306,0.252284780906411,0.2612332941854974,0.2493947060179704,0.24321639853443025,0.20790878277372118,0.22753521187426073,0.23990531993734218,0.2148521236601658,0.19785475801318914,0.19356631125508372,0.1796943125415863,0.20822260430737805,0.0,0.18552708364713766,0.21083763905789632,0.19251194881975403,0.20363398969831079,0.19274431028207148,0.19102582495597492,0.2137869343818281,0.191042324895443,0.19287194320263412,0.20017347880730452,0.1775939692261187,0.22815299826649993,0.24941114677757034,0.2816007610861549,0.2660044595840995,0.28389243407739273,0.28107845447262014,0.2597042693242161,0.29421416112308135,0.2999808199898819,0.41311107650104,0.3140905194906247,0.2312887661806739,0.2624051506342816,0.2341215164357544,0.29079779230335034,0.28506754017040936,0.2860093879111766,0.2990239768689413,0.33743059215952237,0.27925335048359357,0.29385703532256663
PL51 - Dolnośląskie,0.18816573271684855,0.1963550608819987,0.20679836662815856,0.22579383293460045,0.3435818649057588,0.21579376006249626,0.24651052905688803,0.24671366471816755,0.22974156650025354,0.22538067008246027,0.18685772886848784,0.21507183696323107,0.22341996136611547,0.19918254931932922,0.1629449730224523,0.15053808737480567,0.14049387879259298,0.18563472804228323,0.18552708364713766,0.0,0.18184020296087974,0.1694406435330965,0.18584613688718096,0.16624077152953926,0.14975195712130687,0.1808720729367941,0.1595824704290311,0.16702109759237266,0.17280460362721736,0.13371058356630794,0.1926257446047664,0.2232901388218903,0.25613435157051045,0.238030963586433,0.25940098708957415,0.2546902242729512,0.23293595836440617,0.27097759352737205,0.2781379689033249,0.3946506117272984,0.2898810289357969,0.20099447493849623,0.23643571281189357,0.20169865966315476,0.26471678139336496,0.2578047152000929,0.2626774968119813,0.2754806018064824,0.3150543228121928,0.25264038976414904,0.27081867310358787
PL52 - Opolskie,0.2094930051032026,0.21760988898619732,0.2236788612329747,0.2475381455934577,0.349699699994767,0.2332288622448268,0.2588883934559244,0.25877645903375623,0.24397198602420964,0.2339539367537175,0.20219703754656487,0.22313188690506663,0.23021650728093082,0.22134143818316462,0.17588664959632944,0.18845462214953362,0.17725640728499198,0.20834833055519716,0.21083763905789632,0.18184020296087974,0.0,0.20438179510935361,0.2072851210283016,0.195382354996328,0.17612255834456778,0.20408799810082837,0.17511575919420927,0.18294451415714477,0.1898875575807862,0.17101673323497493,0.20366831519580622,0.23086330109703482,0.2657805707881852,0.24536696643526573,0.2648861117114982,0.2604331527943905,0.24308278569303576,0.282907841206246,0.28304337373538047,0.40947451134462,0.29670498011433677,0.2077087482231986,0.2417915418104666,0.21198233863880106,0.27101426362085107,0.26647992926927344,0.265919638928922,0.2836322892677412,0.32430117501017214,0.25939691083534067,0.27830466252232045
PL61 - Kujawsko-Pomorskie,0.1900048151842418,0.18513306843175145,0.21473687612067055,0.23505774941818502,0.3446826140021781,0.21705654917435668,0.23865727017130886,0.2523941366670734,0.24229006887706117,0.2311012204290439,0.1934109001851555,0.2128438829297051,0.22260808676640603,0.1841865189486546,0.17430581867286538,0.18206775240646594,0.14536929710480856,0.161872838874952,0.19251194881975403,0.1694406435330965,0.20438179510935361,0.0,0.16299107091407347,0.1588244289103959,0.17709739661511115,0.21091242130470644,0.17667547915373744,0.1894746709289654,0.18703717819721188,0.15994448920048,0.19665635178860894,0.22553459583904714,0.2631484634247327,0.2425692622786697,0.2637015817043647,0.2605622785153211,0.23772423587622019,0.276105438547457,0.280373385945155,0.40129883209631395,0.29711164598885564,0.20341409299682311,0.23967727728924515,0.20629209035097154,0.27038168909374516,0.2630126196170499,0.26709076298934736,0.2799674984660151,0.3207349902351714,0.25938006415859305,0.27504190655419214
PL62 - Warmińsko-Mazurskie,0.1920731978971472,0.19215021219124268,0.21689563316600285,0.23433430338331845,0.3432841685793091,0.2252883674032412,0.23617001360788875,0.2500916467305271,0.24089097582427746,0.2311239728846938,0.18849328933248347,0.21035200912527777,0.2213573209070915,0.18844881130725408,0.18532389879008224,0.19679460925565448,0.16464413934218197,0.1697415983537846,0.20363398969831079,0.18584613688718096,0.2072851210283016,0.16299107091407347,0.0,0.16145965719885721,0.18659101418044804,0.220313025030909,0.18236520980123266,0.19815150682126814,0.18800115348638988,0.17100464330706439,0.1937632254323569,0.2218393539130069,0.2575656227422188,0.23615269343939035,0.2561174087523926,0.2534131518631059,0.23242267387649018,0.2725590553223028,0.27471664105920873,0.3990727835768978,0.29141479772133966,0.19941064146247406,0.2363512432809627,0.20209671611985872,0.26499442277386703,0.2570060775347358,0.2614659803627339,0.27575108426820205,0.31785169284243214,0.25008100141505324,0.2696513642423961
PL63 - Pomorskie,0.1688141958781952,0.17493848912774262,0.19897077622396891,0.2187659922553442,0.3407296033759284,0.2117670126641631,0.23471614529738205,0.24136419961152522,0.2269550645588814,0.2196432344311777,0.16750911084544953,0.19846536365797263,0.21223097759060847,0.17600184903975313,0.1690431978207026,0.17116888827232737,0.14272697448427657,0.1641746455887269,0.19274431028207148,0.16624077152953926,0.195382354996328,0.1588244289103959,0.16145965719885721,0.0,0.1718685786494414,0.20427495910842164,0.15977023067891724,0.17666549794778164,0.16994173939587573,0.14325519291661792,0.1717710115476595,0.20162157166902156,0.24054050917152567,0.21741734359946976,0.23898821416838056,0.23774468605959792,0.2136684658776029,0.2584833272423013,0.2575996678869597,0.38770355681138596,0.27668849237452936,0.18051327752172183,0.2168058335380703,0.17915352232247647,0.24587303668469615,0.23824385073210363,0.2477095250129288,0.2614755490546261,0.29805235494160565,0.23550632194763318,0.2506217473370494
PL71 - Łódzkie,0.19410758314817478,0.19913318976238384,0.20618244111072973,0.23144455747962042,0.3422254166560385,0.2145840248091579,0.2465980645242066,0.24459751021078632,0.23165194695802022,0.22445767602910496,0.1840339750708269,0.2132832353397007,0.21691472243696527,0.20338042365106324,0.15856215696676437,0.16017009247114453,0.14881138579570696,0.18762577100683525,0.19102582495597492,0.14975195712130687,0.17612255834456778,0.17709739661511115,0.18659101418044804,0.1718685786494414,0.0,0.18377782862912243,0.15708204901993394,0.1668629612359714,0.17940804826209483,0.14547435720594767,0.19525652750046937,0.22386515369263835,0.2582243681078356,0.23985934842438184,0.25929678398821393,0.25564587087255575,0.2334310525786759,0.2748726569210619,0.2799475116051365,0.39691020362854396,0.2918750555234855,0.2035708270578095,0.23961985293261515,0.20307626585093283,0.2661389592153741,0.2583897517382619,0.265660142777207,0.2787270587039434,0.31853444664456154,0.25549332029996324,0.2708900182802481
PL72 - Świętokrzyskie,0.21371697524396957,0.21978668457182757,0.22415290587027925,0.24597887020439468,0.34968961448302605,0.23153897015840597,0.26509337667014066,0.25645101953540217,0.2457652242341718,0.23280303082039888,0.2055002021524829,0.2321802704437987,0.2345277602811073,0.22821940148490785,0.1670842459076775,0.17379312859361573,0.18608956880963395,0.22063246229393402,0.2137869343818281,0.1808720729367941,0.20408799810082837,0.21091242130470644,0.220313025030909,0.20427495910842164,0.18377782862912243,0.0,0.18422281171643456,0.1658787973717768,0.20255432418013053,0.17648154203894922,0.21795593846789646,0.24269863390637667,0.27625434195672566,0.2581284143636053,0.2772546453336674,0.27542690583394325,0.25426422774515045,0.29255472496916946,0.2976321000456542,0.4130386651914418,0.3103284475070734,0.22550144355498825,0.259376395524715,0.22575506288440986,0.28526905337816305,0.2760452377825799,0.2834742614701354,0.2928316240227319,0.33175452413243894,0.2744984754381593,0.28818855814651095
PL81 - Lubelskie,0.18417478177148003,0.19736363751923844,0.20478512418709072,0.22787870888091738,0.34484564823405506,0.21880403787710379,0.2478704015563741,0.24346249209778054,0.234402908799552,0.22279863758116622,0.1828523755894061,0.20729421987831298,0.20969650224973732,0.19798764419448847,0.15428198764061207,0.1676733198349196,0.14849718548120158,0.1873309618639439,0.191042324895443,0.1595824704290311,0.17511575919420927,0.17667547915373744,0.18236520980123266,0.15977023067891724,0.15708204901993394,0.18422281171643456,0.0,0.16055899005197585,0.16027962736392254,0.13601679686965018,0.18333120616630194,0.2136696932552339,0.24773828008930698,0.22880534733644325,0.24923518677531553,0.24413699674961342,0.22459552021986434,0.270942738905317,0.2696549706602056,0.39599974043576536,0.2858338675072929,0.19112758462253146,0.22976053392550366,0.19076241931482496,0.25777217653498613,0.2482998246711195,0.25737114388624227,0.26960257700269114,0.3091589141338911,0.24545870000758863,0.2626251564962506
PL82 - Podkarpackie,0.19181810409478103,0.19266404878091897,0.20370713234166538,0.23255770817047838,0.34073294899589385,0.21145439618977385,0.24820489154568148,0.24010976380996957,0.22967305655169687,0.2171980946291097,0.18082121195236853,0.2090523857096109,0.21719975293062915,0.20723795446488844,0.14210347794683684,0.154404679374491,0.1655045515879749,0.20564137659452184,0.19287194320263412,0.16702109759237266,0.18294451415714477,0.1894746709289654,0.19815150682126814,0.17666549794778164,0.1668629612359714,0.1658787973717768,0.16055899005197585,0.0,0.17853634971865015,0.14391259302121678,0.1914314255434598,0.22113998796661208,0.25581952460682506,0.2336656539508118,0.257385719934145,0.25562430009838594,0.23177304196576332,0.2754043925649599,0.278921387422271,0.39773975436832565,0.294738142034201,0.20267571847329247,0.2371904971962666,0.1985262833457679,0.2658440938964663,0.25559670888888825,0.2660712566403285,0.275012714158455,0.3162922649446545,0.2564887468751563,0.2707699805866247
PL84 - Podlaskie,0.18491093341299733,0.19684782368862644,0.2031908393953163,0.2279191057662668,0.3431319093288572,0.21610578946852063,0.24541768891977211,0.2453722491351045,0.23261526457180387,0.22801739523205866,0.18183602814481178,0.2086725617986721,0.22294668545283894,0.1987629152948651,0.17448439495903442,0.17791762501964967,0.1700263201681219,0.19858277178844425,0.20017347880730452,0.17280460362721736,0.1898875575807862,0.18703717819721188,0.18800115348638988,0.16994173939587573,0.17940804826209483,0.20255432418013053,0.16027962736392254,0.17853634971865015,0.0,0.15637450651273715,0.18850785530911057,0.21858576380486733,0.250291452568898,0.2309357357060809,0.2529346247788153,0.2500727057651789,0.2284705185282558,0.2716346893633495,0.2717449936964513,0.39834201102214534,0.28703922024417977,0.19472487641192582,0.23260496873949746,0.19581280582816069,0.2606472683111018,0.25251279240178687,0.25982260231614107,0.2741558685802547,0.31254107211753523,0.24761842029109996,0.2661911217361049
PL9 - Mazowieckie,0.17350618325229636,0.18282175399431097,0.19673078726545756,0.21988666643010352,0.33841487391893077,0.21219143406971877,0.2393706495000796,0.24017437620334417,0.22543198067721465,0.2194537778556401,0.17613691779296559,0.20640995109625138,0.21555505989611837,0.18681407268833689,0.14837284174507898,0.14291265039365375,0.1299345943689164,0.17443039924613352,0.1775939692261187,0.13371058356630794,0.17101673323497493,0.15994448920048,0.17100464330706439,0.14325519291661792,0.14547435720594767,0.17648154203894922,0.13601679686965018,0.14391259302121678,0.15637450651273715,0.0,0.17647607904070445,0.20789914921520475,0.24500024938234274,0.22438226124597946,0.24649942114163917,0.24330696192612825,0.21963652425620797,0.26279413064448326,0.26462725401095694,0.38838537133053347,0.2815857809207601,0.18721894544698858,0.22333938061780512,0.18557070141255877,0.2536687277660812,0.24355017647956143,0.25565976654268124,0.26547185429961007,0.3046675110249872,0.2426183984877395,0.25707052676623354
SE110 - Stockholm,0.16461633648842536,0.18970595710267588,0.20843002888517712,0.23123211793982104,0.3542634124390429,0.23476484749294002,0.2506512831996011,0.2454418982363541,0.24155331234707764,0.2320608122115453,0.17982782991269464,0.2151273494576662,0.22901269648666142,0.19908696409102336,0.16596022176133465,0.18751395941650997,0.1741960955553068,0.19595670758240172,0.22815299826649993,0.1926257446047664,0.20366831519580622,0.19665635178860894,0.1937632254323569,0.1717710115476595,0.19525652750046937,0.21795593846789646,0.18333120616630194,0.1914314255434598,0.18850785530911057,0.17647607904070445,0.0,0.15221935955297028,0.18518398469482528,0.15924947759890945,0.18739307516718015,0.18813251068413747,0.16802691229212827,0.2291767477901682,0.21569941474053536,0.36243748732377196,0.2430361915106266,0.1347852368836141,0.17387493021910982,0.11510852964186298,0.20010280255368632,0.183773158128202,0.2169040107544591,0.22247932076752364,0.26401445799460344,0.1937520396040711,0.21194487604842724
SE121 - Uppsala,0.1904347271448654,0.2184564567240995,0.23138271266649615,0.24877464334912036,0.36759345856220094,0.2579447531710188,0.26781442484085977,0.2658316225958723,0.26158809830871915,0.25602734514734315,0.21011589587599122,0.2401301529084018,0.2531029278689588,0.2289676469128546,0.19900595315445885,0.21803482144512182,0.20694030275973052,0.22235398861652492,0.24941114677757034,0.2232901388218903,0.23086330109703482,0.22553459583904714,0.2218393539130069,0.20162157166902156,0.22386515369263835,0.24269863390637667,0.2136696932552339,0.22113998796661208,0.21858576380486733,0.20789914921520475,0.15221935955297028,0.0,0.20529553916521484,0.17590193315921984,0.1976531791868061,0.2047529358324446,0.17987852452696498,0.23708798256105848,0.21925832429500305,0.3671208464477184,0.24600771626960444,0.15610728346152664,0.18426076115343468,0.14483437794313775,0.2069406450134412,0.2008021013491611,0.21934141135939106,0.22778601671427617,0.2663360719432549,0.2006144056441736,0.22189139777926084
SE122 - Södermanland,0.23200509417113777,0.2551259283861011,0.26334077869245687,0.28237180940439005,0.3914493283063588,0.29152858381374885,0.29867646106310236,0.29783666682217375,0.2945941688827881,0.2876658042613898,0.24355456964862132,0.2710878141713399,0.28476464111379285,0.26374092581104747,0.23827342379288938,0.2537291133291404,0.24339741312234434,0.2562803651701029,0.2816007610861549,0.25613435157051045,0.2657805707881852,0.2631484634247327,0.2575656227422188,0.24054050917152567,0.2582243681078356,0.27625434195672566,0.24773828008930698,0.25581952460682506,0.250291452568898,0.24500024938234274,0.18518398469482528,0.20529553916521484,0.0,0.20953139565231216,0.22507531771273212,0.23080091651081197,0.21187583135354707,0.2638281720908396,0.24873219058406704,0.37944677240922464,0.2733403484364497,0.20229894801802087,0.21783028914191752,0.19130141110355678,0.23644395692094156,0.22599031044120987,0.252412731931228,0.25561179708693904,0.28985030432338216,0.23567047250609427,0.2505960298787331
